date,montant,quantite,heure,type_transaction,is_anomalie
2024-03-22 20:12:15.135135,354627,77,16,remboursement,0
2024-09-16 18:35:40.540540,46340,64,12,achat,0
2024-03-09 16:31:42.702702,356664,38,13,remboursement,0
2024-09-16 09:49:32.972972,267070,55,16,achat,0
2024-08-13 10:19:49.189189,403422,23,11,vente,0
2024-09-06 21:50:16.216216,223961,94,8,achat,0
2024-07-07 12:41:04.864864,352821,68,10,vente,0
2024-04-18 21:05:35.135135,283910,15,12,remboursement,0
2024-09-01 19:04:30.270270,266139,34,10,achat,0
2024-03-02 09:09:11.351351,347864,18,15,remboursement,0
2024-09-29 13:30:05.405405,387984,13,18,achat,0
2024-01-09 00:54:46.486486,250074,8,8,achat,0
2024-06-05 09:01:58.918918,97416,98,13,remboursement,0
2024-02-05 01:48:06.486486,84064,5,19,achat,0
2024-10-21 02:51:31.891891,122919,66,8,achat,0
2024-03-29 18:48:38.918918,210591,3,11,achat,0
2025-08-04 10:17:08.571428,2958254,951,3,remboursement,1
2024-03-30 21:07:01.621621,466173,79,8,achat,0
2025-12-01 06:51:25.714285,2510559,564,2,remboursement,1
2025-10-10 06:51:25.714285,4894113,650,1,achat,1
2024-07-18 11:44:51.891891,128351,86,15,vente,0
2024-07-11 13:08:28.108108,315768,21,8,remboursement,0
2024-11-28 02:48:38.918918,15532,87,12,remboursement,0
2024-09-21 21:21:26.486486,131733,17,19,achat,0
2024-08-28 18:37:07.027027,105819,89,14,remboursement,0
2024-03-16 15:08:06.486486,318392,54,19,achat,0
2024-11-14 23:08:06.486486,325991,76,12,vente,0
2024-07-13 08:59:05.945945,162088,49,8,achat,0
2024-09-29 04:43:57.837837,278672,37,14,remboursement,0
2024-08-23 15:51:21.081081,218702,27,13,achat,0
2024-06-15 05:47:23.243243,421363,35,19,achat,0
2024-02-05 10:34:14.054054,386838,35,10,achat,0
2024-01-20 08:44:41.081081,496844,42,14,vente,0
2024-10-23 16:14:24.864864,261587,37,16,remboursement,0
2024-08-10 12:10:48.648648,64155,66,13,remboursement,0
2024-01-12 16:36:02.162162,468645,70,15,vente,0
2024-05-12 15:03:47.027027,369550,66,18,achat,0
2024-03-21 17:53:52.432432,246424,37,17,remboursement,0
2024-03-02 17:55:18.918918,282405,17,8,vente,0
2024-04-01 08:11:31.891891,238559,4,13,vente,0
2024-02-24 19:18:55.135135,280236,18,12,vente,0
2024-04-16 07:42:42.162162,332370,92,11,achat,0
2024-08-31 16:46:07.567567,260233,52,12,achat,0
2024-04-12 07:15:18.918918,90820,83,14,achat,0
2024-12-15 06:56:34.594594,99120,91,10,remboursement,0
2024-11-24 11:07:23.243243,495576,5,16,remboursement,0
2024-03-22 02:40:00.000000,211384,66,17,remboursement,0
2024-08-19 06:37:50.270270,30103,2,17,achat,0
2024-04-18 12:19:27.567567,313854,67,18,vente,0
2024-05-06 01:13:30.810810,476503,17,18,achat,0
2024-04-06 02:11:10.270270,277922,16,12,achat,0
2024-04-25 10:55:51.351351,226140,51,16,vente,0
2024-10-21 20:23:47.027027,438813,62,19,remboursement,0
2024-05-08 05:50:16.216216,43314,55,16,remboursement,0
2024-12-06 12:29:32.972972,188011,83,8,vente,0
2024-10-09 19:01:37.297297,267530,34,16,remboursement,0
2024-04-30 04:55:29.729729,448035,6,12,achat,0
2024-10-03 05:11:21.081081,182788,84,8,remboursement,0
2024-08-17 19:33:20.000000,391265,51,17,vente,0
2024-03-12 23:26:50.810810,318047,78,8,vente,0
2025-07-28 00:00:00.000000,4916971,649,1,remboursement,1
2024-04-04 15:06:40.000000,467396,99,19,achat,0
2025-07-13 03:25:42.857142,4011841,883,3,remboursement,1
2024-11-12 00:59:05.945945,250456,45,17,achat,0
2025-03-16 06:51:25.714285,3559284,651,3,vente,1
2024-06-13 18:42:52.972972,440892,2,17,achat,0
2024-06-01 08:34:35.675675,371338,95,9,remboursement,0
2024-04-07 04:29:32.972972,400324,62,17,vente,0
2024-12-24 01:23:36.216216,304907,59,17,remboursement,0
2024-10-24 09:46:40.000000,49772,3,18,achat,0
2024-01-08 16:08:38.918918,182265,60,19,remboursement,0
2024-07-07 21:27:12.432432,369464,5,17,achat,0
2024-10-13 19:29:00.540540,192486,6,11,vente,0
2024-01-10 20:45:24.324324,420333,9,16,remboursement,0
2024-01-21 02:16:56.216216,389784,36,12,remboursement,0
2024-07-04 23:18:11.891891,420547,63,12,remboursement,0
2024-07-04 05:45:56.756756,19318,63,18,remboursement,0
2024-09-02 12:36:45.405405,355697,70,15,remboursement,0
2024-10-22 22:42:09.729729,192187,69,12,remboursement,0
2024-04-26 22:00:21.621621,336922,1,10,vente,0
2024-09-26 06:34:57.297297,78551,88,10,vente,0
2024-05-03 20:36:45.405405,412124,24,14,remboursement,0
2024-04-19 05:51:42.702702,107416,1,9,remboursement,0
2024-03-17 17:26:29.189189,234354,7,9,vente,0
2025-05-29 13:42:51.428571,2674267,968,1,achat,1
2024-03-29 01:16:23.783783,152702,41,11,achat,0
2024-02-27 08:41:48.108108,66305,97,18,vente,0
2024-06-12 07:38:22.702702,265123,2,9,remboursement,0
2024-06-30 05:18:33.513513,340076,62,16,achat,0
2024-06-19 23:47:01.621621,197990,29,13,remboursement,0
2024-12-12 00:01:26.486486,398545,88,18,achat,0
2024-08-08 07:34:03.243243,329646,43,14,remboursement,0
2024-12-24 10:09:43.783783,121189,89,9,achat,0
2024-05-01 07:13:52.432432,364267,19,8,vente,0
2024-01-14 03:40:32.432432,92238,19,10,remboursement,0
2024-11-09 20:22:20.540540,289257,56,11,remboursement,0
2024-09-12 09:22:09.729729,88583,55,11,remboursement,0
2024-09-11 15:49:54.594594,58251,26,8,remboursement,0
2024-07-11 04:22:20.540540,296813,47,11,remboursement,0
2025-06-20 20:34:17.142857,3228135,687,0,remboursement,1
2025-01-30 17:08:34.285714,3141610,617,2,achat,1
2024-02-28 11:00:10.810810,214699,31,14,remboursement,0
2024-09-09 02:27:01.621621,415334,99,13,remboursement,0
2024-11-25 22:11:53.513513,361440,22,18,remboursement,0
2024-09-03 23:41:15.675675,489219,53,15,vente,0
2024-11-16 18:58:44.324324,19677,85,16,achat,0
2024-01-03 04:36:45.405405,438297,19,10,remboursement,0
2024-02-15 07:19:38.378378,375541,60,8,achat,0
2024-03-25 09:35:08.108108,460619,92,14,achat,0
2024-05-22 20:35:18.918918,345014,43,17,achat,0
2024-12-22 14:19:05.945945,224123,41,13,vente,0
2024-12-31 00:00:00.000000,296909,71,19,achat,0
2024-09-29 22:16:12.972972,185680,74,17,achat,0
2024-10-12 17:10:37.837837,205017,59,9,vente,0
2024-01-09 09:40:54.054054,328502,86,19,vente,0
2024-12-23 07:51:21.081081,452150,29,16,achat,0
2024-10-02 11:39:05.945945,160855,34,16,remboursement,0
2024-06-03 21:57:28.648648,489441,2,17,vente,0
2024-08-15 23:42:42.162162,304840,96,12,remboursement,0
2024-03-28 07:44:08.648648,255703,64,17,vente,0
2024-03-01 06:50:48.648648,5559,61,19,achat,0
2024-11-05 19:54:57.297297,227182,54,12,remboursement,0
2024-03-31 23:25:24.324324,473032,22,12,remboursement,0
2024-10-02 20:25:13.513513,383769,10,8,vente,0
2024-02-25 12:51:10.270270,437986,27,13,vente,0
2024-06-09 09:29:22.162162,412851,93,14,vente,0
2024-06-25 02:32:47.567567,277217,21,19,achat,0
2024-03-14 19:17:28.648648,458400,43,15,remboursement,0
2025-06-06 00:00:00.000000,4869839,972,3,vente,1
2024-10-04 16:15:51.351351,74835,37,13,achat,0
2024-08-10 03:24:41.081081,93263,19,14,achat,0
2024-02-18 23:00:54.054054,476769,55,14,remboursement,0
2024-03-05 07:18:11.891891,430760,76,11,remboursement,0
2024-06-13 01:10:37.837837,201211,31,14,remboursement,0
2024-05-01 16:00:00.000000,311602,77,13,remboursement,0
2024-12-02 03:16:02.162162,287121,89,8,achat,0
2024-11-29 13:53:09.189189,333684,13,10,vente,0
2024-03-07 11:54:57.297297,489768,25,16,vente,0
2024-03-07 20:41:04.864864,134380,48,10,remboursement,0
2024-01-12 07:49:54.594594,63706,95,13,achat,0
2024-06-03 04:25:13.513513,308760,76,14,achat,0
2024-08-10 20:56:56.216216,21911,39,12,achat,0
2024-05-11 12:45:24.324324,329595,38,13,vente,0
2024-03-25 00:49:00.540540,168377,6,16,achat,0
2024-02-03 05:57:28.648648,53002,29,12,vente,0
2024-05-06 18:45:45.945945,445698,45,15,remboursement,0
2024-05-26 03:30:27.027027,307553,93,16,achat,0
2024-12-21 20:46:50.810810,385355,70,17,remboursement,0
2025-09-10 13:42:51.428571,3889706,850,4,achat,1
2025-08-11 20:34:17.142857,3641466,661,0,vente,1
2024-10-05 18:34:14.054054,474508,17,16,remboursement,0
2024-02-14 13:47:23.243243,347762,1,10,vente,0
2024-02-14 22:33:30.810810,117945,19,15,vente,0
2024-02-07 06:24:51.891891,479095,35,12,remboursement,0
2024-10-28 10:14:03.243243,34048,26,14,remboursement,0
2024-08-16 08:28:49.729729,479857,30,17,remboursement,0
2024-07-18 02:58:44.324324,250385,41,18,vente,0
2024-02-23 08:14:24.864864,490077,31,17,vente,0
2024-08-06 20:29:32.972972,91649,50,12,vente,0
2024-04-23 06:19:05.945945,36533,97,11,vente,0
2024-05-26 21:02:42.162162,276978,91,9,achat,0
2025-03-08 20:34:17.142857,3712208,520,2,remboursement,1
2024-05-12 06:17:39.459459,284826,80,17,achat,0
2024-02-10 22:06:07.567567,27694,47,14,achat,0
2024-10-10 12:33:52.432432,470944,35,8,vente,0
2024-02-05 19:20:21.621621,411529,74,11,remboursement,0
2024-12-20 09:42:20.540540,291298,73,14,vente,0
2024-02-23 17:00:32.432432,456127,92,13,remboursement,0
2024-06-11 22:52:15.135135,122827,20,14,vente,0
2024-11-28 20:20:54.054054,470228,82,10,vente,0
2024-06-05 17:48:06.486486,269724,3,10,vente,0
2025-10-25 03:25:42.857142,4533526,963,1,remboursement,1
2024-09-05 01:59:38.378378,194123,89,13,achat,0
2024-12-22 23:05:13.513513,31962,53,10,remboursement,0
2024-01-15 14:45:02.702702,465537,24,13,achat,0
2024-10-30 06:04:41.081081,261392,7,11,remboursement,0
2024-02-20 18:51:31.891891,291858,24,8,achat,0
2024-05-15 21:58:55.135135,499166,24,9,vente,0
2024-02-13 02:42:52.972972,271755,46,15,achat,0
2024-01-22 04:35:18.918918,104290,36,19,remboursement,0
2024-05-18 20:07:55.675675,180183,30,15,achat,0
2024-11-21 04:12:15.135135,276484,54,16,remboursement,0
2024-04-29 02:37:07.027027,253182,69,18,remboursement,0
2024-01-01 00:00:00.000000,34381,90,13,vente,0
2025-03-31 03:25:42.857142,2824726,623,4,vente,1
2024-02-06 21:38:44.324324,282311,46,18,achat,0
2024-07-22 12:12:15.135135,25946,60,15,achat,0
2024-03-23 04:58:22.702702,139035,95,18,achat,0
2024-11-17 03:44:51.891891,294962,74,14,remboursement,0
2024-10-11 23:38:22.702702,222767,99,19,remboursement,0
2024-07-28 08:30:16.216216,324957,80,9,achat,0
2024-05-28 16:53:20.000000,277990,64,19,remboursement,0
2024-02-07 23:57:07.027027,143595,13,19,vente,0
2024-02-16 00:51:53.513513,25874,4,14,vente,0
2024-06-28 09:27:55.675675,375134,65,11,remboursement,0
2024-03-07 03:08:49.729729,102243,68,8,achat,0
2024-05-03 11:50:37.837837,170029,80,17,vente,0
2024-09-10 22:17:39.459459,412962,28,15,vente,0
2024-09-22 14:53:41.621621,425873,37,14,remboursement,0
2024-06-02 10:52:58.378378,245822,86,11,remboursement,0
2025-05-22 03:25:42.857142,4670526,610,2,vente,1
2024-05-27 05:48:49.729729,107192,27,15,vente,0
2024-01-14 12:26:40.000000,253018,28,16,achat,0
2024-01-26 22:34:57.297297,313444,80,19,achat,0
2024-08-26 22:46:29.189189,480551,70,12,achat,0
2024-09-24 01:58:11.891891,90693,80,15,vente,0
2024-04-19 23:23:57.837837,53458,1,12,achat,0
2024-05-29 19:11:42.702702,202173,63,12,remboursement,0
2024-01-29 20:43:57.837837,266674,71,17,remboursement,0
2024-06-23 06:42:09.729729,264488,11,15,achat,0
2024-06-25 20:05:02.702702,101496,82,13,vente,0
2024-08-18 13:05:35.135135,322545,9,8,vente,0
2024-03-10 01:17:50.270270,272311,63,18,remboursement,0
2024-03-10 18:50:05.405405,5432,1,13,vente,0
2024-01-23 15:39:49.189189,377333,42,11,vente,0
2024-04-08 06:47:55.675675,227426,45,14,achat,0
2024-12-14 13:24:19.459459,353302,44,17,achat,0
2024-11-30 16:11:31.891891,443698,67,19,achat,0
2025-07-20 13:42:51.428571,2623756,906,3,achat,1
2024-05-28 08:07:12.432432,36568,84,8,remboursement,0
2024-09-20 10:16:56.216216,452506,10,15,achat,0
2024-03-29 10:02:31.351351,122907,40,12,remboursement,0
2024-01-10 03:13:09.189189,476398,75,19,vente,0
2024-07-03 20:59:49.189189,213138,32,13,achat,0
2024-05-27 23:21:04.864864,215481,32,14,remboursement,0
2024-12-19 07:23:57.837837,46476,14,11,achat,0
2024-03-12 14:40:43.243243,363468,17,15,remboursement,0
2024-09-08 17:40:54.054054,243544,62,18,achat,0
2024-03-13 16:59:05.945945,190221,35,10,remboursement,0
2024-06-15 23:19:38.378378,245201,66,12,vente,0
2024-10-25 03:18:55.135135,363234,35,17,remboursement,0
2024-05-25 18:44:19.459459,66562,69,16,achat,0
2024-04-26 04:28:06.486486,287488,36,12,achat,0
2024-11-02 12:59:49.189189,317336,31,19,remboursement,0
2024-11-23 17:35:08.108108,201164,86,19,remboursement,0
2024-02-20 10:05:24.324324,110736,16,14,vente,0
2024-08-18 04:19:27.567567,313872,98,12,remboursement,0
2024-02-06 04:06:29.189189,399775,83,18,vente,0
2024-08-02 20:02:09.729729,160260,76,14,achat,0
2025-12-16 03:25:42.857142,2246464,568,4,vente,1
2024-11-13 03:17:28.648648,352747,7,19,remboursement,0
2025-04-22 10:17:08.571428,4679590,809,0,achat,1
2024-06-26 22:23:25.405405,449122,27,10,vente,0
2024-07-24 16:49:00.540540,122729,48,10,vente,0
2024-12-20 00:56:12.972972,428501,43,13,vente,0
2024-11-05 11:08:49.729729,106398,71,13,achat,0
2024-10-01 00:34:35.675675,409395,64,18,achat,0
2024-09-10 13:31:31.891891,149352,68,12,vente,0
2024-11-10 05:08:28.108108,267838,95,9,remboursement,0
2024-08-17 10:47:12.432432,107395,61,10,remboursement,0
2024-02-22 14:42:09.729729,441421,76,15,achat,0
2024-09-24 19:30:27.027027,470370,88,19,vente,0
2025-11-01 13:42:51.428571,2833230,501,4,remboursement,1
2024-08-05 09:25:02.702702,386856,10,13,vente,0
2024-10-13 01:56:45.405405,120377,79,18,remboursement,0
2024-11-30 07:25:24.324324,270415,18,14,vente,0
2024-11-08 18:03:57.837837,318816,48,14,remboursement,0
2024-11-21 21:44:30.270270,289538,50,11,vente,0
2024-03-27 14:11:53.513513,458902,7,12,vente,0
2024-01-17 10:35:40.540540,395166,51,12,achat,0
2024-07-03 03:27:34.054054,421037,25,12,remboursement,0
2024-02-21 12:23:47.027027,459725,41,9,remboursement,0
2024-06-29 11:46:18.378378,175646,15,8,achat,0
2024-02-12 00:24:30.270270,266401,46,10,remboursement,0
2024-09-17 20:54:03.243243,310495,10,8,achat,0
2024-10-09 10:15:29.729729,169999,54,16,achat,0
2024-10-19 15:47:01.621621,204092,99,15,remboursement,0
2025-10-02 20:34:17.142857,4342854,797,3,achat,1
2024-03-06 00:50:27.027027,179104,11,12,vente,0
2024-04-14 11:52:04.324324,488075,93,18,remboursement,0
2024-09-30 15:48:28.108108,42136,81,18,achat,0
2024-03-11 21:08:28.108108,249288,62,19,remboursement,0
2024-01-05 17:59:38.378378,57726,40,10,vente,0
2024-11-08 00:31:42.702702,350653,93,15,remboursement,0
2024-03-28 16:30:16.216216,420882,7,19,achat,0
2024-11-16 01:26:29.189189,495228,13,8,achat,0
2024-11-04 17:36:34.594594,498197,20,14,remboursement,0
2024-03-22 11:26:07.567567,255699,55,15,remboursement,0
2024-08-22 04:46:50.810810,42271,68,17,vente,0
2024-11-20 01:53:52.432432,282876,12,13,achat,0
2024-08-17 02:01:04.864864,466442,90,12,remboursement,0
2024-10-17 11:10:16.216216,99702,59,9,vente,0
2024-04-24 17:23:36.216216,268503,32,14,achat,0
2024-02-04 08:15:51.351351,122517,29,15,achat,0
2024-11-06 22:13:20.000000,105588,71,11,remboursement,0
2024-09-05 19:31:53.513513,462811,41,18,vente,0
2024-04-13 00:47:34.054054,413916,87,17,achat,0
2024-02-09 02:15:29.729729,383522,70,19,remboursement,0
2024-04-22 04:00:43.243243,383994,87,10,vente,0
2024-02-17 03:10:16.216216,399813,52,13,remboursement,0
2024-03-23 22:30:37.837837,470538,56,12,vente,0
2024-09-02 21:22:52.972972,137828,43,13,achat,0
2024-06-08 07:10:59.459459,155594,30,10,vente,0
2024-01-30 23:02:20.540540,51940,32,17,remboursement,0
2024-06-15 14:33:30.810810,269130,72,10,vente,0
2024-12-03 23:06:40.000000,335828,52,9,achat,0
2025-12-23 13:42:51.428571,4948398,620,4,vente,1
2025-09-18 00:00:00.000000,4357077,598,2,remboursement,1
2024-03-19 13:17:07.027027,39743,42,19,vente,0
2024-11-19 08:21:37.297297,148115,69,11,achat,0
2024-10-28 19:00:10.810810,90205,48,9,vente,0
2024-01-27 07:21:04.864864,314320,15,15,achat,0
2024-10-06 03:20:21.621621,259394,48,11,vente,0
