date,ventes,jour_semaine,mois,jour_mois,trimestre
2023-01-01,104967,6,1,1,1
2023-01-02,99270,0,1,2,1
2023-01-03,107783,1,1,3,1
2023-01-04,117189,2,1,4,1
2023-01-05,100270,3,1,5,1
2023-01-06,100922,4,1,6,1
2023-01-07,119707,5,1,7,1
2023-01-08,112239,6,1,8,1
2023-01-09,100519,0,1,9,1
2023-01-10,111287,1,1,10,1
2023-01-11,101874,2,1,11,1
2023-01-12,102496,3,1,12,1
2023-01-13,110216,4,1,13,1
2023-01-14,89305,5,1,14,1
2023-01-15,91828,6,1,15,1
2023-01-16,104092,0,1,16,1
2023-01-17,100222,1,1,17,1
2023-01-18,114125,2,1,18,1
2023-01-19,102533,3,1,19,1
2023-01-20,98117,4,1,20,1
2023-01-21,127521,5,1,21,1
2023-01-22,111229,6,1,22,1
2023-01-23,114780,0,1,23,1
2023-01-24,100473,1,1,24,1
2023-01-25,109888,2,1,25,1
2023-01-26,117049,3,1,26,1
2023-01-27,105034,4,1,27,1
2023-01-28,120902,5,1,28,1
2023-01-29,111735,6,1,29,1
2023-01-30,115417,0,1,30,1
2023-01-31,112905,1,1,31,1
2023-02-01,138029,2,2,1,1
2023-02-02,119951,3,2,2,1
2023-02-03,110083,4,2,3,1
2023-02-04,129456,5,2,4,1
2023-02-05,109587,6,2,5,1
2023-02-06,124444,0,2,6,1
2023-02-07,103313,1,2,7,1
2023-02-08,110177,2,2,8,1
2023-02-09,125972,3,2,9,1
2023-02-10,131927,4,2,10,1
2023-02-11,126789,5,2,11,1
2023-02-12,124445,6,2,12,1
2023-02-13,123112,0,2,13,1
2023-02-14,111853,1,2,14,1
2023-02-15,119949,2,2,15,1
2023-02-16,123044,3,2,16,1
2023-02-17,138718,4,2,17,1
2023-02-18,132074,5,2,18,1
2023-02-19,111491,6,2,19,1
2023-02-20,132839,0,2,20,1
2023-02-21,126217,1,2,21,1
2023-02-22,123762,2,2,22,1
2023-02-23,137105,3,2,23,1
2023-02-24,141748,4,2,24,1
2023-02-25,141193,5,2,25,1
2023-02-26,123923,6,2,26,1
2023-02-27,129651,0,2,27,1
2023-02-28,136476,1,2,28,1
2023-03-01,143332,2,3,1,1
2023-03-02,129190,3,3,2,1
2023-03-03,132523,4,3,3,1
2023-03-04,123706,5,3,4,1
2023-03-05,123190,6,3,5,1
2023-03-06,143651,0,3,6,1
2023-03-07,149455,1,3,7,1
2023-03-08,135531,2,3,8,1
2023-03-09,146637,3,3,9,1
2023-03-10,140560,4,3,10,1
2023-03-11,130827,5,3,11,1
2023-03-12,141218,6,3,12,1
2023-03-13,153302,0,3,13,1
2023-03-14,137872,1,3,14,1
2023-03-15,154178,2,3,15,1
2023-03-16,112626,3,3,16,1
2023-03-17,147326,4,3,17,1
2023-03-18,140253,5,3,18,1
2023-03-19,136659,6,3,19,1
2023-03-20,140825,0,3,20,1
2023-03-21,120281,1,3,21,1
2023-03-22,138201,2,3,22,1
2023-03-23,144201,3,3,23,1
2023-03-24,155632,4,3,24,1
2023-03-25,135885,5,3,25,1
2023-03-26,133188,6,3,26,1
2023-03-27,136452,0,3,27,1
2023-03-28,150812,1,3,28,1
2023-03-29,145125,2,3,29,1
2023-03-30,136710,3,3,30,1
2023-03-31,147301,4,3,31,1
2023-04-01,143292,5,4,1,2
2023-04-02,152151,6,4,2,2
2023-04-03,135579,0,4,3,2
2023-04-04,139449,1,4,4,2
2023-04-05,138922,2,4,5,2
2023-04-06,128316,3,4,6,2
2023-04-07,146011,4,4,7,2
2023-04-08,145751,5,4,8,2
2023-04-09,143273,6,4,9,2
2023-04-10,140949,0,4,10,2
2023-04-11,129205,1,4,11,2
2023-04-12,139207,2,4,12,2
2023-04-13,140033,3,4,13,2
2023-04-14,135475,4,4,14,2
2023-04-15,141914,5,4,15,2
2023-04-16,147587,6,4,16,2
2023-04-17,162420,0,4,17,2
2023-04-18,145307,1,4,18,2
2023-04-19,146131,2,4,19,2
2023-04-20,142797,3,4,20,2
2023-04-21,124331,4,4,21,2
2023-04-22,143223,5,4,22,2
2023-04-23,144051,6,4,23,2
2023-04-24,168033,0,4,24,2
2023-04-25,141421,1,4,25,2
2023-04-26,146296,2,4,26,2
2023-04-27,142861,3,4,27,2
2023-04-28,131441,4,4,28,2
2023-04-29,154467,5,4,29,2
2023-04-30,150462,6,4,30,2
2023-05-01,150749,0,5,1,2
2023-05-02,133632,1,5,2,2
2023-05-03,156634,2,5,3,2
2023-05-04,128460,3,5,4,2
2023-05-05,148212,4,5,5,2
2023-05-06,164105,5,5,6,2
2023-05-07,132145,6,5,7,2
2023-05-08,136230,0,5,8,2
2023-05-09,142725,1,5,9,2
2023-05-10,136521,2,5,10,2
2023-05-11,125871,3,5,11,2
2023-05-12,141877,4,5,12,2
2023-05-13,130375,5,5,13,2
2023-05-14,145535,6,5,14,2
2023-05-15,131398,0,5,15,2
2023-05-16,155879,1,5,16,2
2023-05-17,132327,2,5,17,2
2023-05-18,136714,3,5,18,2
2023-05-19,147837,4,5,19,2
2023-05-20,127155,5,5,20,2
2023-05-21,141494,6,5,21,2
2023-05-22,152041,0,5,22,2
2023-05-23,122638,1,5,23,2
2023-05-24,140298,2,5,24,2
2023-05-25,140783,3,5,25,2
2023-05-26,145729,4,5,26,2
2023-05-27,125264,5,5,27,2
2023-05-28,124145,6,5,28,2
2023-05-29,142281,0,5,29,2
2023-05-30,139738,1,5,30,2
2023-05-31,138974,2,5,31,2
2023-06-01,139631,3,6,1,2
2023-06-02,129058,4,6,2,2
2023-06-03,137869,5,6,3,2
2023-06-04,138161,6,6,4,2
2023-06-05,127766,0,6,5,2
2023-06-06,153243,1,6,6,2
2023-06-07,138995,2,6,7,2
2023-06-08,122011,3,6,8,2
2023-06-09,140154,4,6,9,2
2023-06-10,123502,5,6,10,2
2023-06-11,140777,6,6,11,2
2023-06-12,144146,0,6,12,2
2023-06-13,124004,1,6,13,2
2023-06-14,141492,2,6,14,2
2023-06-15,135631,3,6,15,2
2023-06-16,139367,4,6,16,2
2023-06-17,149754,5,6,17,2
2023-06-18,127970,6,6,18,2
2023-06-19,122522,0,6,19,2
2023-06-20,120798,1,6,20,2
2023-06-21,121166,2,6,21,2
